hotel_name,price_euros,rating,num_reviews,quality_over_5,quality_type,neighborhood,description
The Oliver Apartamentos Aravaca,983.0,8.8,909.0,3.0,squares,"Moncloa-Aravaca, Madrid","Superior Studio
Entire studio • 1 bathroom • 1 kitchen • 30m²
2 beds (1 sofa bed, 1 queen)"
Hotel 4C Puerta Europa,665.0,7.9,2337.0,2.0,stars,"Tetuan, Madrid","Double Room
1 full bed
Free cancellation
No prepayment needed – pay at the property
Only 1 room left at this price on our site"
Minty Stay - Studio Hortaleza,810.0,8.5,10.0,4.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bathroom • 1 kitchen • 40m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
Dobo Homes - PA4,559.0,7.9,121.0,3.0,squares,"Chamartín, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom
1 full bed
Free cancellation
Only 1 left at this price on our site"
Erase un Hotel,780.0,8.4,5775.0,3.0,stars,"Tetuan, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 3 rooms left at this price on our site"
Downtown and Cozy - 1 Bedroom 1 Bathroom - Chueca,834.0,8.8,28.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 50m²
1 full bed
Free cancellation"
1 bedroom 1 bathroom furnished - Sol - Downtown - Minty Stay,930.0,8.3,31.0,4.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
ABC Apartments Vistalegre I,628.0,10.0,2.0,3.0,squares,"Carabanchel, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 35m²
1 full bed
Free cancellation"
AmazINN Places Palacio Real,653.0,8.2,418.0,3.0,squares,"Latina, Madrid","Superior Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 39m²
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site"
Vértice Roomspace,501.0,8.1,12748.0,3.0,stars,"Villaverde, Madrid","Double or Twin Room with Kitchenette
Beds: 1 double or 2 twins
Free cancellation
Only 5 rooms left at this price on our site"
Montaber Apartments - La Paz Market,844.0,7.7,320.0,3.0,squares,"Salamanca, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 twin, 1 full)
Only 4 left at this price on our site"
1Bedroom 1bathroom furnished - Rios Rosas - equipped in business area - MintyStay,982.0,9.6,7.0,,,"Chamberi, Madrid","One-Bedroom Apartment
Entire apartment • 1 bathroom • 1 kitchen • 60m²
Free cancellation"
Live it Madrid Gran Vía,412.0,6.9,698.0,,,"Madrid City Center, Madrid","Standard Double Room with Shared Bathroom
1 full bed"
MyHouseSpain - Moderno Estudio en Plaza España,881.0,8.7,23.0,,,"Madrid City Center, Madrid","One-Bedroom Apartment
1 full bed
Free cancellation"
Deluxe en plaza mayor,882.0,8.1,22.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
1 full bed"
Apartamentos Juan Bravo,769.0,8.4,7328.0,3.0,squares,"Salamanca, Madrid","Standard Studio
Entire studio • 1 bathroom • 1 kitchen • 20m²
2 twin beds
Free cancellation
Only 3 left at this price on our site"
Cozy studio in Tetuan - EN 1/8,737.0,8.4,17.0,,,"Tetuan, Madrid","Studio Apartment
Entire apartment • 1 bedroom • 1 bathroom
1 full bed
Free cancellation"
B&B HOTEL Madrid Carabanchel,518.0,9.1,221.0,2.0,stars,"Carabanchel, Madrid","Double Room
1 queen bed"
2 baños! Piso grande 100 m2 y Garaje gratis,906.0,9.4,77.0,4.0,squares,"Moratalaz, Madrid","Two-Bedroom Apartment
Entire apartment • 2 bedrooms • 2 bathrooms • 1 kitchen • 95m²
3 beds (2 twins, 1 full)
Free cancellation
Only 1 left at this price on our site"
Feelathome Waldorf Suites Apartments,921.0,9.0,1057.0,4.0,squares,"Chamberi, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
1 full bed
Only 7 left at this price on our site"
1 bedroom 1 bathroom furnished - Justicia - Incredible views - MintyStay,1112.0,9.8,6.0,4.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 60m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
TravelStep General Ricardos,468.0,7.6,161.0,3.0,squares,"Carabanchel, Madrid","Studio with Balcony
Entire studio • 1 bathroom • 18m²
Only 7 left at this price on our site"
Madrid Rio Puente Segovia,728.0,8.3,3.0,3.0,squares,"Latina, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 25m²
2 beds (1 sofa bed, 1 queen)
Free cancellation"
Apartamento Gran Via en Madrid,910.0,7.8,76.0,3.0,squares,"Madrid City Center, Madrid","Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 45m²
2 beds (1 full, 1 sofa bed)"
Central Cozy -1Bedroom 1Bath -Anton Martin,717.0,8.5,4.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 45m²
1 full bed
Free cancellation"
MyHouseSpain - Luminoso piso en Chamberí,1055.0,8.9,10.0,3.0,squares,"Chamberi, Madrid","Apartment with Shower
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 45m²
1 full bed
Free cancellation"
Plaza Mayor Suites & Apartments,1069.0,8.9,3763.0,3.0,squares,"Madrid City Center, Madrid","Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 25m²
1 full bed
Free cancellation
Only 2 left at this price on our site"
Apartamentos EconoStay Barbieri 1,414.0,6.1,88.0,3.0,squares,"Madrid City Center, Madrid","Standard Studio
Entire studio • 1 bathroom • 18m²
1 full bed
Only 2 left at this price on our site"
Siete Monos,995.0,8.8,199.0,3.0,squares,"Madrid City Center, Madrid","Loft Suite
Entire studio • 1 bathroom • 1 kitchen • 38m²
2 beds (1 sofa bed, 1 queen)
Free cancellation
Only 1 left at this price on our site"
Apartamentos SmartRenting Justicia,424.0,6.6,75.0,3.0,squares,"Madrid City Center, Madrid","Standard Studio
Entire studio • 1 bathroom • 1 kitchen • 13m²
1 full bed
Only 2 left at this price on our site"
Feelathome Ventas Suites,857.0,8.9,1158.0,3.0,squares,"Salamanca, Madrid","Standard Studio
Entire studio • 1 bathroom • 1 kitchen • 20m²
1 queen bed
Only 7 left at this price on our site"
Estudio en Plaza de España,829.0,8.6,27.0,3.0,squares,"Moncloa-Aravaca, Madrid","Studio - Split Level
Entire studio • 1 bathroom • 30m²
1 full bed
Free cancellation
Only 2 left at this price on our site"
Modern and cozy-1Bedroom 1Bathroom-Azca,791.0,7.4,9.0,3.0,squares,"Tetuan, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
1 full bed
Free cancellation"
Olavide en Madrid,1039.0,8.3,436.0,4.0,squares,"Chamberi, Madrid","One-Bedroom Apartment IV
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 50m²
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site"
Catalonia Atocha,1260.0,8.8,6005.0,4.0,stars,"Madrid City Center, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property"
Apartamento en el centro de Madrid,760.0,8.8,50.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
2 beds (1 full, 1 sofa bed)
Free cancellation"
Avenida America en Madrid Capital,841.0,7.7,499.0,3.0,squares,"Salamanca, Madrid","One-Bedroom Apartment VI
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 60m²
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site"
4C Bravo Murillo,710.0,8.2,5764.0,2.0,stars,"Tetuan, Madrid","Twin Room
2 twin beds
Free cancellation
Only 4 rooms left at this price on our site"
Elba Madrid Alcalá,1010.0,8.9,8241.0,4.0,stars,"San Blas, Madrid","Standard Double Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 4 rooms left at this price on our site"
NH Madrid Ventas,985.0,8.6,4483.0,4.0,stars,"Salamanca, Madrid","Standard Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation
No prepayment needed – pay at the property
Only 5 rooms left at this price on our site"
Agora Juan de Austria,954.0,8.4,3960.0,4.0,stars,"Chamberi, Madrid","Twin Room
2 twin beds
Breakfast included
Free cancellation
Only 7 rooms left at this price on our site"
Cozy apartment-1Bedroom 1Bath-Chamberí,733.0,7.0,6.0,3.0,squares,"Chamberi, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
Hotel Princesa Plaza Madrid,1252.0,8.2,10382.0,4.0,stars,"Madrid City Center, Madrid","Superior King Room
1 king bed
Free cancellation
No prepayment needed – pay at the property"
Hotel BESTPRICE Alcalá,652.0,9.1,7775.0,1.0,stars,"San Blas, Madrid","Deluxe Double or Twin Room
Multiple bed types"
Ibis Budget Madrid Centro Las Ventas,605.0,7.9,4780.0,1.0,stars,"Ciudad Lineal, Madrid","Classic Double Room
1 full bed"
Hostal New Dream Madrid,683.0,7.9,2558.0,,,"Madrid City Center, Madrid","Exterior Double Room with Private Bathroom
1 full bed
Free cancellation
Only 2 rooms left at this price on our site"
Loft de lujo a pasos del prado,932.0,8.4,49.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 living room • 1 bathroom • 1 kitchen • 40m²
2 beds (1 full, 1 sofa bed)"
NEW AND COZY-STUDIO-CHUECA,979.0,8.8,94.0,3.0,squares,"Madrid City Center, Madrid","One-Bedroom Apartment
Entire apartment • 1 bedroom • 1 bathroom • 1 kitchen • 41m²
2 beds (1 full, 1 sofa bed)
Free cancellation"
MintyStay - Paseo de las Delicias,1055.0,8.7,37.0,,,"Arganzuela, Madrid","Two-Bedroom Apartment
Entire apartment • 1 bathroom • 1 kitchen • 65m²
Free cancellation"
Gran Versalles,997.0,8.6,7120.0,4.0,stars,"Chamberi, Madrid","Double or Twin Room
Beds: 1 double or 2 twins
Free cancellation"
Apartamentos EconoStay Plaza de España,675.0,7.3,77.0,3.0,squares,"Madrid City Center, Madrid","Standard Studio
Entire studio • 1 bathroom
2 beds (1 full, 1 sofa bed)
Only 1 left at this price on our site"
